01|VENDAS|050||202304051010|20230405|20230405|16731862000124|07216054000138,1
02|01|00000000000000007182|01|02|20230302|00000000000000000000|00000000346659000102|RJ|21010410|RJ|00000000|CIF|01,7182
03|00000000000000007182|01|02|         1430|20|  26.90|N|   538.00|   538.00|00|00|00|00|00,7182
02|01|00000000000000025966|01|02|20230320|00000000000000000000|00000013987222000191|RJ|21010410|RJ|00000000|CIF|01,25966
03|00000000000000025966|01|02|         3123|15|  19.73|N|   295.95|   295.95|00|00|00|00|00,25966
02|01|00000000000000026061|01|02|20230321|00000000000000000000|00000013987222000191|RJ|21010410|RJ|00000000|CIF|01,26061
03|00000000000000026061|01|02|         1928|13|  24.55|N|  3412.45|  3412.45|00|00|00|00|00,26061
02|01|00000000000002455894|01|01|20230301|00000000000000000000|00000033648981000137|RJ|21010410|RJ|00000000|CIF|01,2455894
03|00000000000002455894|01|01|         1430|50|  21.90|N| 10950.00| 10950.00|00|00|00|00|00,2455894
02|01|00000000000002456150|01|02|20230301|00000000000000000000|00000029916343000182|RJ|21010410|RJ|00000000|CIF|01,2456150
03|00000000000002456150|01|02|         1430|04|  28.90|N|   115.60|   115.60|00|00|00|00|00,2456150
02|01|00000000000002456151|01|02|20230301|00000000000000000000|00000001417222000339|RJ|21010410|MG|00000000|CIF|01,2456151
03|00000000000002456151|01|02|         1430|16|  20.19|N|  3230.40|  3230.40|00|00|00|00|00,2456151
02|01|00000000000002456152|01|02|20230301|00000000000000000000|00000001417222000258|RJ|21010410|SP|00000000|CIF|01,2456152
03|00000000000002456152|01|02|         1430|80|  20.19|N|  1615.20|  1615.20|00|00|00|00|00,2456152
02|01|00000000000002456154|01|01|20230301|00000000000000000000|00000027212968001614|RJ|21010410|RJ|00000000|CIF|01,2456154
03|00000000000002456154|01|01|         1430|10|  26.90|N|   269.00|   269.00|00|00|00|00|00,2456154
02|01|00000000000002456156|01|01|20230301|00000000000000000000|00000028572311000144|RJ|21010410|RJ|00000000|CIF|01,2456156
03|00000000000002456156|01|01|         1430|10|  21.90|N|  2190.00|  2190.00|00|00|00|00|00,2456156
02|01|00000000000002456157|01|01|20230301|00000000000000000000|00000008486515000155|RJ|21010410|RJ|00000000|CIF|01,2456157
03|00000000000002456157|01|01|         1430|20|  21.90|N|   438.00|   438.00|00|00|00|00|00,2456157
02|01|00000000000002456158|01|01|20230301|00000000000000000000|00000007497238000113|RJ|21010410|RJ|00000000|CIF|01,2456158
03|00000000000002456158|01|01|         1430|05|  28.90|N|   144.50|   144.50|00|00|00|00|00,2456158
