01|VENDAS|050||202305040936|20230504|20230504|22013079000128|07216054000138,1
02|01|00000000000000015521|01|01|20230404|00000000000000000000|00000000011111111111|RJ|21010410|RJ|00000000|CIF|01,15521
03|00000000000000015521|01|01|         1430|01|  27.87|N|    27.87|    27.87|00|00|00|00|00,15521
02|01|00000000000000015529|01|01|20230404|00000000000000000000|00000000011111111111|RJ|21010410|RJ|00000000|CIF|01,15529
03|00000000000000015529|01|01|         1430|02|  27.87|N|    55.74|    55.74|00|00|00|00|00,15529
02|01|00000000000000015532|01|01|20230404|00000000000000000000|00000000011111111111|RJ|21010410|RJ|00000000|CIF|01,15532
03|00000000000000015532|01|01|         1430|02|  27.87|N|    55.74|    55.74|00|00|00|00|00,15532
02|01|00000000000000015536|01|01|20230404|00000000000000000000|00000000011111111111|RJ|21010410|RJ|00000000|CIF|01,15536
03|00000000000000015536|01|01|         1430|01|  27.87|N|    27.87|    27.87|00|00|00|00|00,15536
02|01|00000000000000015543|01|01|20230404|00000000000000000000|00000000011111111111|RJ|21010410|RJ|00000000|CIF|01,15543
02|01|00000000000000015543|01|01|20230404|00000000000000000000|00000000011111111111|RJ|21010410|RJ|00000000|CIF|01,15543
03|00000000000000015543|01|01|         3717|01|   5.80|N|     5.80|     5.80|00|00|00|00|00,15543
03|00000000000000015543|01|01|         3746|01|   5.81|N|     5.81|     5.81|00|00|00|00|00,15543
02|01|00000000000000015545|01|01|20230404|00000000000000000000|00000000011111111111|RJ|21010410|RJ|00000000|CIF|01,15545
03|00000000000000015545|01|01|         1429|01|   5.10|N|     5.10|     5.10|00|00|00|00|00,15545
02|01|00000000000000015551|01|01|20230405|00000000000000000000|00000000011111111111|RJ|21010410|RJ|00000000|CIF|01,15551
03|00000000000000015551|01|01|         1429|02|   4.59|N|     9.18|     9.18|00|00|00|00|00,15551
02|01|00000000000000015557|01|01|20230405|00000000000000000000|00000000011111111111|RJ|21010410|RJ|00000000|CIF|01,15557
03|00000000000000015557|01|01|         1430|03|  27.87|N|    83.61|    83.61|00|00|00|00|00,15557
02|01|00000000000000015558|01|01|20230405|00000000000000000000|00000000011111111111|RJ|21010410|RJ|00000000|CIF|01,15558
03|00000000000000015558|01|01|         1430|01|  27.87|N|    27.87|    27.87|00|00|00|00|00,15558
02|01|00000000000000015560|01|01|20230405|00000000000000000000|00000000011111111111|RJ|21010410|RJ|00000000|CIF|01,15560
03|00000000000000015560|01|01|         1430|04|  27.87|N|   111.48|   111.48|00|00|00|00|00,15560
02|01|00000000000000015562|01|01|20230405|00000000000000000000|00000000011111111111|RJ|21010410|RJ|00000000|CIF|01,15562
03|00000000000000015562|01|01|         1430|01|  27.87|N|    27.87|    27.87|00|00|00|00|00,15562
02|01|00000000000000015563|01|01|20230405|00000000000000000000|00000000011111111111|RJ|21010410|RJ|00000000|CIF|01,15563
03|00000000000000015563|01|01|         1430|02|  22.30|N|    44.60|    44.60|00|00|00|00|00,15563
02|01|00000000000000015569|01|01|20230405|00000000000000000000|00000000011111111111|RJ|21010410|RJ|00000000|CIF|01,15569
03|00000000000000015569|01|01|         1430|03|  27.54|N|    82.62|    82.62|00|00|00|00|00,15569
02|01|00000000000000015576|01|01|20230405|00000000000000000000|00000000011111111111|RJ|21010410|RJ|00000000|CIF|01,15576
02|01|00000000000000015576|01|01|20230405|00000000000000000000|00000000011111111111|RJ|21010410|RJ|00000000|CIF|01,15576
02|01|00000000000000015576|01|01|20230405|00000000000000000000|00000000011111111111|RJ|21010410|RJ|00000000|CIF|01,15576
03|00000000000000015576|01|01|         3717|01|   6.45|N|     6.45|     6.45|00|00|00|00|00,15576
03|00000000000000015576|01|01|         3717|03|   6.45|N|    19.35|    19.35|00|00|00|00|00,15576
03|00000000000000015576|01|01|         3746|03|   6.45|N|    19.35|    19.35|00|00|00|00|00,15576
02|01|00000000000000015586|01|01|20230406|00000000000000000000|00000000011111111111|RJ|21010410|RJ|00000000|CIF|01,15586
03|00000000000000015586|01|01|         1430|01|  27.87|N|    27.87|    27.87|00|00|00|00|00,15586
02|01|00000000000000015588|01|01|20230406|00000000000000000000|00000000011111111111|RJ|21010410|RJ|00000000|CIF|01,15588
03|00000000000000015588|01|01|         1430|10|  27.87|N|   278.70|   278.70|00|00|00|00|00,15588
02|01|00000000000000015591|01|01|20230406|00000000000000000000|00000000011111111111|RJ|21010410|RJ|00000000|CIF|01,15591
03|00000000000000015591|01|01|         1430|02|  27.87|N|    55.74|    55.74|00|00|00|00|00,15591
02|01|00000000000000015596|01|01|20230406|00000000000000000000|00000000011111111111|RJ|21010410|RJ|00000000|CIF|01,15596
03|00000000000000015596|01|01|         1430|01|  27.87|N|    27.87|    27.87|00|00|00|00|00,15596
02|01|00000000000000015598|01|01|20230406|00000000000000000000|00000000011111111111|RJ|21010410|RJ|00000000|CIF|01,15598
02|01|00000000000000015598|01|01|20230406|00000000000000000000|00000000011111111111|RJ|21010410|RJ|00000000|CIF|01,15598
02|01|00000000000000015598|01|01|20230406|00000000000000000000|00000000011111111111|RJ|21010410|RJ|00000000|CIF|01,15598
03|00000000000000015598|01|01|         1430|01|  27.87|N|    27.87|    27.87|00|00|00|00|00,15598
03|00000000000000015598|01|01|         1928|01|  33.45|N|    33.45|    33.45|00|00|00|00|00,15598
03|00000000000000015598|01|01|         1928|04|  33.45|N|   133.80|   133.80|00|00|00|00|00,15598
02|01|00000000000000015599|01|01|20230406|00000000000000000000|00000000011111111111|RJ|21010410|RJ|00000000|CIF|01,15599
03|00000000000000015599|01|01|         1928|05|  33.45|N|   167.25|   167.25|00|00|00|00|00,15599
02|01|00000000000000015600|01|01|20230406|00000000000000000000|00000000011111111111|RJ|21010410|RJ|00000000|CIF|01,15600
02|01|00000000000000015600|01|01|20230406|00000000000000000000|00000000011111111111|RJ|21010410|RJ|00000000|CIF|01,15600
02|01|00000000000000015600|01|01|20230406|00000000000000000000|00000000011111111111|RJ|21010410|RJ|00000000|CIF|01,15600
03|00000000000000015600|01|01|         3716|05|   5.80|N|    29.02|    29.02|00|00|00|00|00,15600
03|00000000000000015600|01|01|         3717|07|   5.81|N|    40.64|    40.64|00|00|00|00|00,15600
03|00000000000000015600|01|01|         3746|05|   5.81|N|    29.03|    29.03|00|00|00|00|00,15600
02|01|00000000000000015603|01|01|20230410|00000000000000000000|00000000011111111111|RJ|21010410|RJ|00000000|CIF|01,15603
03|00000000000000015603|01|01|         1430|03|  27.87|N|    83.61|    83.61|00|00|00|00|00,15603
02|01|00000000000000015607|01|01|20230410|00000000000000000000|00000000011111111111|RJ|21010410|RJ|00000000|CIF|01,15607
03|00000000000000015607|01|01|         1429|01|   5.10|N|     5.10|     5.10|00|00|00|00|00,15607
02|01|00000000000000015608|01|01|20230410|00000000000000000000|00000000011111111111|RJ|21010410|RJ|00000000|CIF|01,15608
03|00000000000000015608|01|01|         1430|10|  27.87|N|   278.70|   278.70|00|00|00|00|00,15608
02|01|00000000000000015616|01|01|20230410|00000000000000000000|00000000011111111111|RJ|21010410|RJ|00000000|CIF|01,15616
03|00000000000000015616|01|01|         3716|14|   6.45|N|    90.30|    90.30|00|00|00|00|00,15616
02|01|00000000000000015627|01|01|20230410|00000000000000000000|00000000011111111111|RJ|21010410|RJ|00000000|CIF|01,15627
03|00000000000000015627|01|01|         1429|04|   5.10|N|    20.40|    20.40|00|00|00|00|00,15627
02|01|00000000000000015632|01|01|20230411|00000000000000000000|00000000011111111111|RJ|21010410|RJ|00000000|CIF|01,15632
03|00000000000000015632|01|01|         3076|01|  55.74|N|    55.74|    55.74|00|00|00|00|00,15632
02|01|00000000000000015645|01|01|20230411|00000000000000000000|00000000011111111111|RJ|21010410|RJ|00000000|CIF|01,15645
02|01|00000000000000015645|01|01|20230411|00000000000000000000|00000000011111111111|RJ|21010410|RJ|00000000|CIF|01,15645
02|01|00000000000000015645|01|01|20230411|00000000000000000000|00000000011111111111|RJ|21010410|RJ|00000000|CIF|01,15645
02|01|00000000000000015645|01|01|20230411|00000000000000000000|00000000011111111111|RJ|21010410|RJ|00000000|CIF|01,15645
03|00000000000000015645|01|01|          229|02|  31.44|N|    62.88|    62.88|00|00|00|00|00,15645
03|00000000000000015645|01|01|         1429|16|   5.10|N|    81.60|    81.60|00|00|00|00|00,15645
03|00000000000000015645|01|01|         3715|01|   6.45|N|     6.45|     6.45|00|00|00|00|00,15645
03|00000000000000015645|01|01|         3716|05|   6.45|N|    32.25|    32.25|00|00|00|00|00,15645
02|01|00000000000000015648|01|01|20230411|00000000000000000000|00000000011111111111|RJ|21010410|RJ|00000000|CIF|01,15648
03|00000000000000015648|01|01|         1430|01|  27.87|N|    27.87|    27.87|00|00|00|00|00,15648
02|01|00000000000000015654|01|01|20230412|00000000000000000000|00000000011111111111|RJ|21010410|RJ|00000000|CIF|01,15654
03|00000000000000015654|01|01|         1430|02|  27.87|N|    55.74|    55.74|00|00|00|00|00,15654
02|01|00000000000000015658|01|01|20230412|00000000000000000000|00000000011111111111|RJ|21010410|RJ|00000000|CIF|01,15658
03|00000000000000015658|01|01|         1430|04|  27.87|N|   111.48|   111.48|00|00|00|00|00,15658
02|01|00000000000000015663|01|01|20230412|00000000000000000000|00000000011111111111|RJ|21010410|RJ|00000000|CIF|01,15663
03|00000000000000015663|01|01|         1430|10|  27.87|N|   278.70|   278.70|00|00|00|00|00,15663
